productname,currentprice,offer_price,processor,Ram,storage,size,warranty,,,,,,,,,,
Lenov,60890,33890,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
Lenov,59890,37000,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
ASUS ,70990,49990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
APPLE,99900,86990,Apple M1 Processor,8 GB DDR4 RAM,256 GB SSD,33.78 cm (13.3 inch) Display,1year,,,,,,,,,,
ASUS ,45990,33990,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
Lenov,38000,18990,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
Redmi,59999,38990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
Lenov,84603,52890,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
Lenov,59760,33999,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
ASUS ,33990,23990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
ASUS ,80990,56990,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
Lenov,59390,38699,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
MSI B,72990,47990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
HP 14,47206,37990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
acer ,42999,26990,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
Lenov,76890,58490,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
HP In,56903,52990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
ASUS ,50990,37990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
ASUS ,71990,63990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,43.94 cm (17.3 Inch) Display,1year,,,,,,,,,,
Lenov,97890,68999,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
APPLE,99900,86990,Apple M1 Processor,8 GB DDR4 RAM,256 GB SSD,33.78 cm (13.3 inch) Display,1year,,,,,,,,,,
DELL ,58489,39990,Processor: Intel i3-1115G4 (Base- 1.7 GHz & Turbo up to 4.10 GHz) 2 Cores,RAM & Storage: 8GB DDR4 & 1TB HDD + 256GB SSD,"Display: 15.6"" FHD WVA AG Narrow Border",Intel Core i3 Processor (11th Gen),1year,,,,,,,,,,
HP 15,56260,44990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
Lenov,76890,53990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
realm,54999,36990,Stylish & Portable Thin and Light Laptop,14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display),Light Laptop without Optical Disk Drive,Intel Core i3 Processor (11th Gen),1year,,,,,,
Lenov,60890,33890,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
Infin,64999,38990,Intel Core i5 Processor (10th Gen),16 GB LPDDR4X RAM,512 GB SSD,35.56 cm (14 Inch) Display,1year,,,,,,,,,,
Lenov,59890,37000,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
HP Ry,48294,41499,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 Inch) Display,1year,,,,,,,,,,
